sending_institution,sending_course_code,sending_course_name,sending_credits,receiving_institution,receiving_course_code,receiving_course_name,credits_transferred,note,gen_ed_requirement,label,label_name,rule_applied
Berkshire,CIS 148,Introduction to Scripting - Python,3,Fitchburg,CSC 1500,Computer Science I,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 148,Introduction to Scripting - Python,3,Middlesex,,Information Technology Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 155,Web Development,3,Bridgewater,,Computer Elective,3,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 155,Web Development,3,Bristol,CIS 162,Applications for Web Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Fitchburg,CSC 1150,Basics of Web Design,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Framingham,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 155,Web Development,3,Greenfield,CIS 151,Web Site Design and DevelopmentSpecial Requirement: Students not currently engaged in daily computer use should consider taking CIS 140 Computer Applications and Concepts.,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Greenfield,CIS 151#(Replaced: 9/7/2022),Web Site Design and Development ISpecial Requirement: Students not currently engaged in daily computer use should consider taking CIS 140 Microcomputer Software Tools I.,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Greenfield,CIS 151#(Replaced: 9/1/2016),Web Site Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Holyoke,CSI 252,Introduction to Web Site Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,MassBay,CS 241,Web Site Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,MCLA,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 155,Web Development,3,Middlesex,ITC 125,Introduction to Web Publishing,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Quinsigamond,CIS 134,Web Page Development I,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Roxbury,IST 150,Web Design Fluency,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Salem,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 155,Web Development,3,Springfield Tech,CIT 140/140L,Web Authoring 1 + Lab: Web Authoring 1,3+1*,,-,1,partial_or_elective,Credits transferred has asterisk (conditional/variable transfer)
Berkshire,CIS 155,Web Development,3,UMass Amherst,,major or elective credit,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 155,Web Development,3,UMass Dartmouth,CIS 120,Web Page Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Westfield,CAIS 0216#(Disc'd: 6/1/2024),Web-Based Application Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 155,Web Development,3,Worcester,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 180,Introduction to Networks,4,Bristol,CIS 134,Networking Technologies,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Cape Cod,BIT 187#(Replaced: 9/1/2022),Introduction to Networks (Cisco 1),3,Additional 1 credit of general elective credit may be awarded if necessary for degree completion.,-,1,partial_or_elective,Note mentions additional elective credit
Berkshire,CIS 180,Introduction to Networks,4,Cape Cod,CIT 187,Introduction to Networks (Cisco 1)Formerly BIT 187.,3,Additional 1 credit of general elective credit may be awarded if necessary for degree completion.,-,1,partial_or_elective,Note mentions additional elective credit
Berkshire,CIS 180,Introduction to Networks,4,Fitchburg,CSC 3450,Local Area Networks,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Massasoit,CTIM 225,Introduction to Networking,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Massasoit,CTIM 331#(Replaced: ),Introduction to Networking,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,MassBay,CS 242,Computer Networks,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Middlesex,NST 181,Networking I,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Mount Wachusett,CIS 140,Introduction to NetworkingThis course is offered in the Fall.,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Mount Wachusett,CIS 140#(Replaced: 6/1/2025),Microcomputer Networking Applications,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,North Shore,CPS 134,Introduction to Computer Networks,2,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Quinsigamond,CSC 234,"Networking TechnologiesThree hours lecture, three hours laboratory.",4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Roxbury,IST 140,Introduction to Networking,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Springfield Tech,CIT 160,Networks 1,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,UMass Amherst,,major or elective credit,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 180,Introduction to Networks,4,UMass Dartmouth,,Free Elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 180,Introduction to Networks,4,Worcester,CS 155,Computer Networking and Security,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 180,Introduction to Networks,4,Worcester,CS 155#(Replaced: 9/1/2019),"Computer Networking, Security and Databases",4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Bridgewater,,Computer Elective,4,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 181,Routing and Switching Essentials,4,Cape Cod,BIT 248#(Replaced: 9/4/2018),Routing and Switching Essentials (Cisco 2),4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Cape Cod,BIT 248#(Replaced: 9/1/2022),"Switching, Routing and Wireless Essentials (Cisco 2)",4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Cape Cod,CIT 248/248L,"Switching, Routing and Wireless Essentials (Cisco 2)Formerly BIT 248.",4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Fitchburg,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 181,Routing and Switching Essentials,4,Framingham,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 181,Routing and Switching Essentials,4,MCLA,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 181,Routing and Switching Essentials,4,Middlesex,NST 231,Networking II,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Quinsigamond,CST 240,"Routing TechnologiesTwo hours lecture, three hours laboratory.",3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Roxbury,IST 143,Routing Protocols and Concepts,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 181,Routing and Switching Essentials,4,Salem,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 181,Routing and Switching Essentials,4,UMass Amherst,,Not transferable,,,-,0,not_transferable,Receiving course name indicates not transferable
Berkshire,CIS 181,Routing and Switching Essentials,4,UMass Dartmouth,,Free Elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 181,Routing and Switching Essentials,4,Westfield,,Elective,4,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 181,Routing and Switching Essentials,4,Worcester,,Free Elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 203,Systems Design,3,Bridgewater,,Computer Elective,3,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 203,Systems Design,3,Fitchburg,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 203,Systems Design,3,Framingham,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 203,Systems Design,3,MCLA,CSCI 252,Systems Development,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 203,Systems Design,3,Middlesex,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 203,Systems Design,3,Salem,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 203,Systems Design,3,UMass Amherst,,major or elective credit,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 203,Systems Design,3,UMass Dartmouth,CIS 272,Intro to Computing Systems,4*,,-,1,partial_or_elective,Credits transferred has asterisk (conditional/variable transfer)
Berkshire,CIS 203,Systems Design,3,Westfield,,Elective,3,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 203,Systems Design,3,Worcester,,Free Elective,3,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 211,Data Structures,4,Bridgewater,COMP 250,Data Structures and Algorithms,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Bridgewater,COMP 330#(Replaced: 9/1/2017),Data Structures and Algorithms,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Bunker Hill,CIT 242#(Replaced: 9/1/2020),Data StructuresFor additional information and/or a course syllabus contact CITDepartment@bhcc.mass.edu.,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Bunker Hill,CSC 242,Data StructuresFor additional information and/or a course syllabus contact CITDepartment@bhcc.mass.edu.,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Cape Cod,CSC 230,Data Structures,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Fitchburg,CSC 3700,Algorithms and Data Structures,3+1,,-,1,partial_or_elective,Credits transferred has '+' indicating split credit (e.g. 3+1)
Berkshire,CIS 211,Data Structures,4,Framingham,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 211,Data Structures,4,Greenfield,CIS 254#(Replaced: 9/1/2020),Data Structures and Algorithms,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Greenfield,CSC 254,Data StructuresStudents may receive credit for CSC 254 or CIS 254 but not for both.,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,MassBay,CS 208,Data Structures,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,MCLA,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 211,Data Structures,4,Middlesex,CSC 257#(Replaced: ),Data Structures,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Middlesex,CSC 258,Data Structures,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,North Shore,CPS 203,Data Structures,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Quinsigamond,CSC  211#(Replaced: 9/1/2024),Programming with Data Structure,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Quinsigamond,CSC 211#(Replaced: 9/1/2017),Programming and Data Structures,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Quinsigamond,CSC 211,Programming with Data Structure,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Roxbury,IST 281,Data Structures and Algorithms,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Salem,CSC 260,Data Structures and Algorithms,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 211,Data Structures,4,Springfield Tech,CSC 220/220L,Data Structures and Algorithms + Lab: Data Structures and Algorithms,3+1,,-,1,partial_or_elective,Credits transferred has '+' indicating split credit (e.g. 3+1)
Berkshire,CIS 211,Data Structures,4,UMass Amherst,,Major or general elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
